iter	Logloss
0	0.6717770305
1	0.6509223579
2	0.6326650008
3	0.6181881674
4	0.6049154492
5	0.5933119241
6	0.5829930606
7	0.5739590295
8	0.563418357
9	0.5558486172
10	0.5472490961
11	0.5392101561
12	0.5331073886
13	0.5274473193
14	0.5227169865
15	0.5183764172
16	0.5138231576
17	0.5101699043
18	0.5064548733
19	0.5029208846
20	0.4997158483
21	0.4966272322
22	0.4938917018
23	0.4908903972
24	0.4882292213
25	0.485612543
26	0.4832913842
27	0.4814316436
28	0.4797903179
29	0.4780868186
30	0.47639736
31	0.4744937862
32	0.4727189835
33	0.4712681097
34	0.4696448281
35	0.4681077879
36	0.4666827615
37	0.4655508729
38	0.4639400844
39	0.4626763442
40	0.4613501343
41	0.4602425388
42	0.4588504581
43	0.4577176321
44	0.4567418714
45	0.4556449244
46	0.4547594015
47	0.4536990064
48	0.4524329093
49	0.4511343919
50	0.4505171975
51	0.4495769798
52	0.4489058369
53	0.4478700883
54	0.4468762486
55	0.4457855713
56	0.4451796607
57	0.4443082794
58	0.443540459
59	0.4429469543
60	0.4420856801
61	0.4415014717
62	0.4410319533
63	0.4405079273
64	0.4398776726
65	0.439221185
66	0.4386685869
67	0.4381863996
68	0.4374876066
69	0.4369258213
70	0.4364348533
71	0.4356568667
72	0.4348827156
73	0.434314937
74	0.4337214932
75	0.4330738353
76	0.432636288
77	0.4318870407
78	0.431091347
79	0.4305617861
80	0.4299627757
81	0.4294498694
82	0.4289810811
83	0.4283368938
84	0.4276586248
85	0.427046469
86	0.4265613009
87	0.4262052666
88	0.4254311141
89	0.4250590611
90	0.424703353
91	0.4243917479
92	0.4238030603
93	0.4235167166
94	0.4230835155
95	0.4226685672
96	0.4223097206
97	0.4218532628
98	0.4214359943
99	0.421084714
100	0.420862825
101	0.4203948979
102	0.4199437161
103	0.4195453196
104	0.4192354426
105	0.4186930092
106	0.418219644
107	0.4179406971
108	0.4175639038
109	0.4172735643
110	0.4170479938
111	0.4166556178
112	0.4163584643
113	0.4160975067
114	0.4159050053
115	0.4155938341
116	0.4154045097
117	0.414785233
118	0.4145241069
119	0.4142998516
120	0.413679964
121	0.413391113
122	0.4131262658
123	0.4126897611
124	0.4123805116
125	0.4122746989
126	0.4117060555
127	0.411441544
128	0.4112591535
129	0.4107227796
130	0.410177516
131	0.4100653073
132	0.4093398771
133	0.4090103295
134	0.4088496377
135	0.4084303889
136	0.4081334077
137	0.407911203
138	0.4076829352
139	0.4074361095
140	0.4071628507
141	0.4070124965
142	0.4069324568
143	0.4067932508
144	0.4065282731
145	0.4061283793
146	0.4057657557
147	0.4052879705
148	0.4047842477
149	0.4046493168
150	0.4045353408
151	0.4040845281
152	0.4038772493
153	0.4037624006
154	0.4032802304
155	0.4029917901
156	0.4029168293
157	0.4027693166
158	0.4025443052
159	0.4023563447
160	0.4020776599
161	0.4016458017
162	0.4012870377
163	0.4009604548
164	0.400830581
165	0.4006139281
166	0.4003640837
167	0.4000623727
168	0.3996792302
169	0.3995702833
170	0.3993788439
171	0.3991679533
172	0.3990093707
173	0.3987182677
174	0.3985747597
175	0.3983020536
176	0.398110849
177	0.3979025349
178	0.3975876575
179	0.3973050577
180	0.3969481401
181	0.3966417307
182	0.3964686901
183	0.3962243679
184	0.3957694007
185	0.3955696205
186	0.3954671089
187	0.3953585325
188	0.3951621278
189	0.3949414443
190	0.394846135
191	0.3947384725
192	0.3945947422
193	0.394268964
194	0.3941130142
195	0.3938669379
196	0.3937908409
197	0.3934976496
198	0.393291964
199	0.3931259635
200	0.3930205118
201	0.3927511839
202	0.3923928911
203	0.3921465993
204	0.3917248099
205	0.3915937162
206	0.391420205
207	0.3913464071
208	0.3912208574
209	0.3911396011
210	0.390790793
211	0.390417618
212	0.3901188679
213	0.3897875381
214	0.3896653674
215	0.3895070345
216	0.3893369201
217	0.3892329457
218	0.3890597436
219	0.3889679061
220	0.3886661345
221	0.3885192355
222	0.3883136301
223	0.3881365008
224	0.387999338
225	0.3878066247
226	0.3875460883
227	0.3872504888
228	0.3870259014
229	0.3867711016
230	0.3864874108
231	0.3864384626
232	0.3862021771
233	0.3860662019
234	0.3859318368
235	0.3857465475
236	0.3853949478
237	0.3851084882
238	0.384957029
239	0.3847156043
240	0.3846019039
241	0.3844820457
242	0.3841478851
243	0.3839400982
244	0.3837012971
245	0.3835060581
246	0.383397582
247	0.383172915
248	0.383037838
249	0.3827872101
250	0.3824803718
251	0.38230275
252	0.3821070222
253	0.3818498636
254	0.3814799881
255	0.3812725305
256	0.3811374757
257	0.3809356059
258	0.3807427477
259	0.380533224
260	0.3802678502
261	0.3799685912
262	0.3795809127
263	0.3793678968
264	0.3790691969
265	0.3787534362
266	0.3784880075
267	0.3782984165
268	0.378113303
269	0.3778736189
270	0.3776614957
271	0.3773916271
272	0.3771851842
273	0.3770107261
274	0.376709674
275	0.376535751
276	0.3764132298
277	0.3761242942
278	0.3759337602
279	0.37569131
280	0.3754146966
281	0.3751753997
282	0.3748147667
283	0.374622671
284	0.3743136771
285	0.3739985331
286	0.3735592031
